nombreVacante,area,nivelPuesto
Consultor de sistemas,Informática,Técnico
CAJERO ATC,Administración,Operativo
Técnico electrónico de mantenimiento,Mantenimiento industrial,Técnico
DESPACHADOR ANALISTA,Administración,Técnico
Auxiliar de seguridad e higiene,Administración,Técnico especializado
Telefonista,Operativo,Operativo
Laboratorista ,Operativo,Operativo
ASESOR VENTAS ,Comercialización,Operativo
ESPECIALISTA PROCESOS DE INGENIERIA ,Producción,Mandos medios
Mensajero en moto,Operativo,Operativo
System Engineer in Leon and State of GTO,Informática,Técnico
Auxiliar de ingeniería,Calidad,Técnico especializado
Asesor comercial,Comercialización,Mandos medios
Asistente de ventas,Comercialización,Mandos medios
Gerente de capacitación y desarrollo,Recursos humanos,Técnico
Senior de compras ,Administración,Mandos medios
Inspector de calidad,Operativo,Operativo
SUPERVISOR DE PRODUCCIÓN,Producción,Mandos medios
Auxiliar administrativo mantenimiento,Mantenimiento industrial,Mandos medios
ASESORA DE VENTAS,Comercialización,Técnico
LIDER DE PROYECTO,Producción,Mandos medios
Chofer de tráiler,Logística,Operativo
Chofer vendedor,Comercialización,Técnico
Auxiliar contable,Administración,Técnico
Contador público ,Finanzas y Contabilidad,Mandos medios
Coordinador de importación y exportación,Logística,Mandos medios
Auxiliar administrativo mantenimiento,Mantenimiento industrial,Mandos medios
Supervisor de producción,Producción,Mandos medios
Operador de tráiler,Operativo,Técnico especializado
Herrero,Operativo,Operativo
Analista de crédito y cobranza,Finanzas y Contabilidad,Mandos medios
Coordinador Business Plan,Administración,Mandos medios
Agrónomo,Producción,Mandos medios
PRACTICANTE RECURSOS HUMANOS,Recursos humanos,Mandos medios
Operador de manufactura ,Operativo,Operativo
Production Group Leader,Producción,Mandos medios
PESPUNTADOR DE BOLSA,Producción,Operativo
IATF Personnel,Calidad,Técnico especializado
Asistente de reclutamiento,Recursos humanos,Técnico especializado
Técnico de mantenimiento Maquinado,Mantenimiento industrial,Técnico
AYUDANTE DE PRODUCCIÓN,Producción,Operativo
Electromecánico,Mantenimiento industrial,Técnico especializado
ASESORA DE VENTAS,Comercialización,Técnico
Encargado de  Depósito,Comercialización,Mandos medios
Operador de Ensamble ,Operativo,Operativo
RECEPCIONISTA NOTURNO,Administración,Técnico
Becario Administrativo,Administración,Becario
Chofer mensajero,Administración,Operativo
Chofer,Logística,Operativo
Auxiliar de ventas,Administración,Técnico
Auxiliar contable,Administración,Operativo
Operador de máquina de corte y forma de metales,Producción,Operativo
Cajero universal,Operativo,Operativo
POLICIA EN FORMACION,Operativo,Operativo
Operador de producción,Operativo,Operativo
Administrador financiero contable,Administración,Técnico especializado
Mecánico matricero,Mantenimiento industrial,Técnico especializado
Preventa en Moto,Operativo,Técnico
Practicante Reclutamiento,Recursos humanos,Becario
Técnico en mantenimiento automotriz,Mantenimiento industrial,Técnico especializado
Almacenista,Comercialización,Operativo
Especialista IATF / SGC,Administración,Mandos medios
Staff Fotografía,Operativo,Operativo
Vendedor,Comercialización,Operativo
VENDEDOR AGUA,Operativo,Operativo
Ayudante general de operación,Producción,Operativo
Atención al cliente,Operativo,Operativo
Mecánico Diésel,Logística,Técnico especializado
Almacenista,Operativo,Operativo
Técnico en logística de almacenamiento,Logística,Técnico
Sales Representative A,Comercialización,Técnico especializado
Auditor interno,Finanzas y Contabilidad,Técnico especializado
Auxiliar de producción,Producción,Operativo
Ingeniería de producción,Mantenimiento industrial,Técnico
Vendedor técnico,Operativo,Operativo
Camarista,Operativo,Operativo
Hostess,Operativo,Operativo
Especialista IATF 7 SGC,Administración,Mandos medios
gerente de control de producción ,Producción,Directivos
Asistente administrativo,Administración,Becario
Auditor interno,Administración,Técnico especializado
Comprador,Producción,Técnico especializado
Jefe de Limpieza,Operativo,Mandos medios
Operador de mantenimiento,Mantenimiento industrial,Operativo
Lider de producción,Producción,Operativo
Promotor de ventas,Comercialización,Operativo
Ingeniero electricista,Mantenimiento industrial,Técnico
Agente de ventas,Operativo,Operativo
Matricero,Producción,Técnico especializado
Auxiliar administrativo,Administración,Técnico
Auxiliar de mantenimiento,Mantenimiento industrial,Técnico
